Anons_A,4,2,0,
Ardorats_W,4,4,1,
Borks_W,8,2,1,
Calmas_S,5,5,1,
Charkhans_W,5,4,1,
Cavalkus_A,4,3,0,
Deaxins_W,5,5,0,
Henones,L,6,6,1,
Illias_W,4,4,1,
Jopers_U,6,2,1,
Kayns_W,7,6,1,
Kayns_S,6,4,1,
Kirts_W,5,4,1,
Leonids_W,6,4,1,
Moghas_W,7,3,0,
Mowevs_W,4,4,1,
Mutant_A,8,8,0,
Mutant_S,8,8,0,
Mutant_U,8,8,0,
Mutant_W,8,8,0,
Mutant_F,8,8,0,
Mutant_L,8,8,0,
Ornotins_U,6,4,1,
Phans_L,4,4,1,
Piorads_U,4,4,1,
Piorads_S,6,6,1,
Rhones_U,5,4,1,
Rhones_W,4,4,1,
Rhones_S,4,4,1,
Rylians_S,8,2,0,
Saurians_U,5,6,1,
Saurians_W,5,4,1,
Saurians_S,5,2,1,
Saurians_L,5,2,1,
Segundens_U,6,4,1,
Segundens_L,5,2,1,
Susperans_U,4,4,1,
Suvans_U,6,2,1,
Suvans_L,7,4,1,
Theshians_W,4,2,1,
Thoks_W,6,5,0,
Ultraks_U,4,4,1,
Urgaks_W,6,4,1,
Ursi_W,7,6,0,
Xanthons_F,8,6,1,
Yesters_U,6,2,1,
Yesters_A,6,4,1,
